state/ut,literacy-group-males,ratio-males,literacy-group-females,ratio-females
00,Illiterate,0.9052999704477247,Illiterate,0.9056289727928808
01,Illiterate,0.8555470117521489,Illiterate,0.8639621081199376
02,Illiterate,0.9502511370757305,Illiterate,0.9506974825275675
03,Illiterate,0.9370546620611985,Illiterate,0.9400170750158501
04,Illiterate,0.9157192781636706,Illiterate,0.8961505623816771
05,Illiterate,0.918709014061292,Illiterate,0.9247201588174438
06,Illiterate,0.9537007788055505,Illiterate,0.9544428359990791
07,Illiterate,0.9300116598883106,Illiterate,0.9240861512403752
08,Illiterate,0.9674502648453098,Illiterate,0.9665123893502483
09,Illiterate,0.9649535973330351,Illiterate,0.966820861986071
10,Illiterate,0.9080087043155546,Illiterate,0.9078054739597712
11,Illiterate,0.7387362293004276,Illiterate,0.7196026603001364
12,Illiterate,0.6393279911255126,Illiterate,0.6362612678146404
13,Illiterate,0.7610545009511394,Illiterate,0.7737643719288202
14,Illiterate,0.8282638791356514,Illiterate,0.8371096811826683
15,Illiterate,0.9246468624261621,Illiterate,0.9284909356304974
16,Illiterate,0.8366411354210511,Illiterate,0.8051527129142336
17,Illiterate,0.9153547087738968,Illiterate,0.9230292864582212
18,Illiterate,0.6977869607604373,Illiterate,0.712778146240045
19,Illiterate,0.9212384211903466,Illiterate,0.9205689382555142
20,Illiterate,0.8328698587055515,Illiterate,0.8235445269997953
21,Illiterate,0.8505398569691407,Illiterate,0.856599307423027
22,Illiterate,0.9179615314476862,Illiterate,0.926049391281236
23,Illiterate,0.9317025645165155,Illiterate,0.9359770654197781
24,Illiterate,0.9202948909527446,Illiterate,0.9247973534209825
25,Illiterate,0.902603476498558,Illiterate,0.8899701881232224
26,Illiterate,0.69249985362712,Illiterate,0.6514298093587522
27,Illiterate,0.8279836882325109,Illiterate,0.8235006605990131
28,Illiterate,0.8897668457038992,Illiterate,0.8885552213333721
29,Illiterate,0.8037756559148734,Illiterate,0.7902111538409892
30,Illiterate,0.7629037359001597,Illiterate,0.7331110338692478
31,Illiterate,0.9690196078431372,Illiterate,0.98841642228739
32,Illiterate,0.9755600516510378,Illiterate,0.9730470382613321
33,Illiterate,0.9119942688370857,Illiterate,0.9036536814204409
34,Illiterate,0.976131951742767,Illiterate,0.9752038333779649
35,Illiterate,0.7206837429209747,Illiterate,0.7117516629711752
